date,ambulance,heat stroke,kw_group,breathing problems,asthma attack,air quality,chest pain,hospital wait time,emergency room
2013-12-29,24.0,0.0,ambulance_heat stroke,,,,,,
2013-12-29,,,breathing problems_asthma attack,0.0,0.0,,,,
2013-12-29,,,hospital wait time_emergency room,,,,,0.0,32.0
2013-12-29,,,air quality_chest pain,,,6.0,33.0,,
2014-01-05,,,breathing problems_asthma attack,0.0,61.0,,,,
2014-01-05,28.0,0.0,ambulance_heat stroke,,,,,,
2014-01-05,,,air quality_chest pain,,,7.0,37.0,,
2014-01-05,,,hospital wait time_emergency room,,,,,0.0,32.0
2014-01-12,,,breathing problems_asthma attack,0.0,51.0,,,,
2014-01-12,29.0,0.0,ambulance_heat stroke,,,,,,
2014-01-12,,,hospital wait time_emergency room,,,,,0.0,73.0
2014-01-12,,,air quality_chest pain,,,12.0,34.0,,
2014-01-19,,,hospital wait time_emergency room,,,,,0.0,62.0
2014-01-19,,,breathing problems_asthma attack,0.0,50.0,,,,
2014-01-19,25.0,0.0,ambulance_heat stroke,,,,,,
2014-01-19,,,air quality_chest pain,,,8.0,30.0,,
2014-01-26,,,breathing problems_asthma attack,0.0,0.0,,,,
2014-01-26,,,hospital wait time_emergency room,,,,,0.0,52.0
2014-01-26,,,air quality_chest pain,,,10.0,33.0,,
2014-01-26,27.0,0.0,ambulance_heat stroke,,,,,,
2014-02-02,,,air quality_chest pain,,,6.0,33.0,,
2014-02-02,31.0,0.0,ambulance_heat stroke,,,,,,
2014-02-02,,,breathing problems_asthma attack,48.0,76.0,,,,
2014-02-02,,,hospital wait time_emergency room,,,,,0.0,47.0
2014-02-09,,,breathing problems_asthma attack,0.0,0.0,,,,
2014-02-09,,,air quality_chest pain,,,8.0,36.0,,
2014-02-09,,,hospital wait time_emergency room,,,,,0.0,55.0
2014-02-09,25.0,0.0,ambulance_heat stroke,,,,,,
2014-02-16,24.0,0.0,ambulance_heat stroke,,,,,,
2014-02-16,,,breathing problems_asthma attack,0.0,61.0,,,,
2014-02-16,,,air quality_chest pain,,,6.0,31.0,,
2014-02-16,,,hospital wait time_emergency room,,,,,0.0,35.0
2014-02-23,,,air quality_chest pain,,,8.0,37.0,,
2014-02-23,,,breathing problems_asthma attack,0.0,0.0,,,,
2014-02-23,31.0,0.0,ambulance_heat stroke,,,,,,
2014-02-23,,,hospital wait time_emergency room,,,,,0.0,37.0
2014-03-02,27.0,0.0,ambulance_heat stroke,,,,,,
2014-03-02,,,air quality_chest pain,,,8.0,32.0,,
2014-03-02,,,breathing problems_asthma attack,0.0,50.0,,,,
2014-03-02,,,hospital wait time_emergency room,,,,,0.0,35.0
2014-03-09,,,breathing problems_asthma attack,0.0,0.0,,,,
2014-03-09,26.0,0.0,ambulance_heat stroke,,,,,,
2014-03-09,,,air quality_chest pain,,,7.0,32.0,,
2014-03-09,,,hospital wait time_emergency room,,,,,0.0,49.0
2014-03-16,,,air quality_chest pain,,,8.0,35.0,,
2014-03-16,,,hospital wait time_emergency room,,,,,0.0,82.0
2014-03-16,32.0,0.0,ambulance_heat stroke,,,,,,
2014-03-16,,,breathing problems_asthma attack,52.0,50.0,,,,
2014-03-23,,,breathing problems_asthma attack,0.0,46.0,,,,
2014-03-23,28.0,0.0,ambulance_heat stroke,,,,,,
2014-03-23,,,air quality_chest pain,,,7.0,30.0,,
2014-03-23,,,hospital wait time_emergency room,,,,,0.0,46.0
2014-03-30,,,hospital wait time_emergency room,,,,,0.0,34.0
2014-03-30,31.0,2.0,ambulance_heat stroke,,,,,,
2014-03-30,,,air quality_chest pain,,,7.0,31.0,,
